code_uic,cp,a2021,a2020,2019,a2018,a2017,a2016,a2015
87473181,22420,131693,85883,135472,121413,142096,141009,150939
87476416,56340,7653,4877,5478,4199,3127,3714,2590
87473199,22780,362,345,1281,888,817,588,620
87473132,22170,455,455,237,12,594,910,1176
87471177,35470,29086,25107,33192,23326,16583,21978,24308
87473082,22640,11303,8451,10722,8703,11477,12491,11362
87313395,80290,118056,90021,126083,126895,139114,130719,123889
87491100,17800,30228,16113,30263,25663,25210,18810,26179
87281410,62610,4204,3152,5059,4449,4420,3133,2989
87286831,59650,26275,20486,32391,33493,28859,25071,19530
87473520,22390,6423,5599,5800,3372,2755,3634,3649
87313130,80580,15682,11473,16813,14120,17400,17224,17444
87276329,60700,889050,744300,1056853,974670,1052981,1027894,1045065
87586404,47480,156,360,711,573,451,292,237
87444349,14130,109795,87929,140432,117581,143472,138940,141503
87276139,95300,5638709,4540241,7951035,8172721,8065338,7866331,7392889
87393165,78000,545751,398498,875987,902371,933001,946641,956155
87784637,66500,14130,4349,2701,2780,5209,4925,4797
87485359,79360,5919,5407,6980,8091,6150,5682,5688
87116160,77160,566796,301849,683609,696157,710305,709649,708317
87276410,60460,64068,42717,75241,77790,77825,74661,78127
87381012,75017,1495122,1599075,4503007,4649913,4850376,4948939,5021220
87286278,59840,47076,45576,72519,71974,94338,99739,103683
87595504,24019,321,471,206,731,1689,1049,1348
87592170,19170,482,322,171,195,170,104,221
87286245,59890,57,142,954,1248,736,1203,1077
87615260,11500,33294,28039,10767,9141,10240,9974,12199
87144626,88110,126018,105300,138751,130102,140633,137715,147703
87171272,51300,88630,56436,74693,60440,52332,40332,37825
87144451,88200,278252,212584,340591,303414,329057,313336,333505
87571653,37190,15135,16259,21814,19409,18529,18089,17120
87286534,59790,46563,36744,46032,41638,42290,41056,47404
87313460,80170,131383,101582,138755,129136,139225,148765,156198
87113704,93110,3952618,2380920,5908117,5829896,5754371,5579980,5384161
87286732,59100,143957,138506,276590,233584,203234,162130,138692
87411017,76000,5844806,4846305,7659797,6915411,7199458,6906958,7297216
87485532,86480,12912,8279,11199,7829,8552,8653,7773
87583468,16270,0,360,2372,3106,6588,7623,8146
87212373,67480,30467,22632,31261,27752,29914,32155,34186
87144311,88320,31,6,11,9,49,76,27
87193623,57200,2417,3118,4828,5651,8016,9448,9714
87761817,26340,10657,11778,13514,9770,11765,10594,9405
87592717,87720,3461,2102,4624,2657,1644,1632,1865
87182600,68550,47636,42380,51487,56337,63083,59559,62487
87751826,13015,34967,17971,33063,33061,38804,30814,30930
87214742,67420,39027,34872,42757,37984,44093,44583,44420
