code_uic_complet,nom_gare,total_voyageurs_non_voyageurs_2015,total_voyageurs_non_voyageurs_2016,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2019,total_voyageurs_non_voyageurs_2020,total_voyageurs_non_voyageurs_2021
87411264,Barentin,350326,318445,298319,278674,297659,211734,230841
87297291,Barenton-Bugny,9537,10665,11174,8608,6141,6211,9498
87783563,Barjac,4,23,24,16,76,109,55
87192658,Baroncourt,12179,8703,9225,7517,9000,5756,8374
87214247,Barr,378638,363304,373021,362335,378456,268076,324581
87191601,Basse-Ham,1408,632,642,523,646,14,18
87581850,Bassens,16097,13262,18450,24017,39149,23363,38136
87485342,Beauvoir-sur-Niort,22629,24094,24545,24235,26170,25176,29514
87592485,Bellac,32527,36090,34347,23075,26216,16307,24849
87486142,Belleville-sur-Vie,49298,58233,67909,73772,85566,57289,71832
87743526,Bellignat,7198,7693,7183,5208,5373,3355,3683
87300863,Besançon Franche-Comté TGV,783470,776023,809837,729140,747106,397413,569666
87471219,Beslé,20567,20650,22423,24110,28946,15975,22049
87214296,Bischoffsheim,159592,153137,153410,153206,166309,116231,127641
87213611,Bischwiller,700033,676294,722573,747353,820996,619176,752437
87313809,Blangy-sur-Bresle,32310,31099,28546,22833,21218,29382,31720
87444380,Blonville-sur-Mer - Benerville,1977,1978,2020,1927,2404,1398,1864
87381152,Boissy-l'Aillerie,233191,251490,239132,221223,207727,88484,237004
87413351,Bolbec - Nointot,9072,7726,7403,6070,3280,0,0
87764357,Bollène La Croisière,178058,162252,171111,144664,167810,109015,173108
87415893,Bonnières-sur-Seine,789125,749898,713057,665715,636589,278424,619227
87673095,Boucau,7913,5767,6094,6848,8764,5206,9876
87775346,Boucoiran-et-Nozières,1106,1396,1224,1768,1745,3772,6038
87276485,Bouffémont - Moisselles,962706,1000990,1036366,1078777,1064575,427733,981994
87317586,Boulogne-sur-Mer,1151770,1072734,1072222,980670,1038059,710039,926402
87214775,Bourg-Bruche,8569,8146,8579,7918,7947,8323,7693
87784876,Bourg-Madame,7061,5349,4874,4557,4528,2767,2974
87576207,Bourges,1196322,1100019,1143891,1054065,1225164,769469,1036525
87415323,Bourgtheroulde - Thuit-Hébert,2591,2347,1717,1534,2424,5189,8528
87611095,Boussens,232257,217663,258391,209191,238072,156245,206046
87313213,Boves,16198,16521,14182,16049,18323,10945,13791
87476242,Brandérion,2008,1601,2015,3550,8446,7003,6799
87345108,Brebières,79692,79737,81110,81038,86470,66521,70529
87756833,Breil-sur-Roya,51425,57215,71707,60658,70196,32917,27475
87474007,Brest,2066652,2039504,2137171,2152505,2453255,1631411,2200677
87471102,Breteil,81703,86106,80861,78865,87850,59860,57397
87171322,Breuil - Romain,23285,13118,13838,13976,19333,22209,25289
87545483,Breuillet - Bruyères-le-Châtel,513952,520688,525645,518454,515602,257008,457908
87696088,Briare,50561,45392,48170,43985,47148,30194,43963
87747451,Brignoud,263514,242780,267899,242355,282375,170315,204044
87144154,Bruyères,62840,64305,68352,68676,50987,42714,58855
87471037,Bruz,132642,135118,150068,162636,207960,149123,182499
87296244,Busigny,54060,50415,55333,49018,56535,44422,56192
87765198,Bédarrides,22469,20850,26959,20795,20446,9782,13476
87193250,Béning-lès-Saint-Avold,159800,149095,157834,135648,162558,96755,136967
87342006,Béthune,1965530,1909641,1983745,1875823,1977028,1220199,1371461
87756320,Cagnes-sur-Mer,1228108,1277645,1580673,1475745,1679587,933846,1145585
87345520,Cambrai,835261,822387,859598,784322,871992,580709,660822
87611665,Castelnau-d'Estrétefonds,259846,279538,293928,251266,286935,260427,330400
87615468,Castres,245844,218628,224526,156874,162664,112879,146322
87345587,Cattenières,13,3,8,1,544,248,271
87582841,Caudrot,8742,5406,5031,6238,8034,5015,5966
87765503,Cavaillon,242103,227151,242015,215619,249198,155260,223127
87611079,Cazères,212450,203795,213813,165156,190025,154508,201364
87785006,Cerbère,58653,51893,55700,49136,53142,34933,51686
87543033,Cercottes,29910,29410,31548,36191,42501,36970,50076
87382499,Cergy Saint-Christophe,6453027,6806298,7125540,7359555,7560627,5544432,1103393
87382655,Cergy le Haut,6647546,6743592,6809697,6755489,6739264,3298015,1229065
87487280,Cerizay,474,322,315,483,535,465,763
87723452,Cessieu,29255,29977,26634,24194,33073,24956,34699
87734731,Chamalières-sur-Loire,1652,1671,1245,1606,1866,969,2273
87545152,Chamarande,220105,210255,201279,188475,177504,89603,141799
87775221,Chamborigaud,5384,5442,5158,4313,6555,4899,5833
87571463,Chambourg-sur-Indre,14479,14040,14050,10751,8861,2154,1974
87276030,Champ de Courses d'Enghien,2229912,2155045,2072979,2066509,2096797,943277,1828450
87393058,Champ de Mars Tour Eiffel,11088743,10321323,9575471,8715423,7947231,1472021,2516159
