datasetid,recordid,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2021,total_voyageurs_non_voyageurs_2015,segmentation_drg,total_voyageurs_2020,total_voyageurs_non_voyageurs_2016,total_voyageurs_2018,totalvoyageurs2017,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2019,code_uic_complet,code_postal,total_voyageurs_non_voyageurs_2020,total_voyageurs_2019,total_voyageurs_2021,total_voyageurs_2016,total_voyageurs_2015,nom_gare,record_timestamp
frequentation-gares,b7a1a49bcfd571c37a2b44fbb951679ef5f4a1ee,444063,280066,493181,b,172854,481167,444063,467275,467275,426162,87393546,91570,172854,426162,280066,481167,493181,Bièvres,2022-11-18T15:48:22.919+01:00
frequentation-gares,78b455c25ac92647c889f6ff1f443124743d7a80,140956,156058,145494,b,100168,123025,112764,103648,129560,198852,87581728,33290,125211,159082,124846,98420,116395,Blanquefort,2022-11-18T15:48:22.919+01:00
frequentation-gares,f76cd2b43dc80fe2d67d4c7204249ed1729b1ff3,39428,36843,53891,c,17612,48929,39428,44679,44679,35444,87684407,91720,17612,35444,36843,48929,53891,Boigneville,2022-11-18T15:48:22.919+01:00
frequentation-gares,01de0abd3fc9f453809fa116b40ab519926fa85d,1115,1346,1478,c,879,636,1115,894,894,1937,87342071,62175,879,1937,1346,636,1478,Boisleux-au-Mont,2022-11-18T15:48:22.919+01:00
frequentation-gares,c5d65080d9296ae28b8f7c03bd3187a5fb1d7787,7042,4979,5618,c,5241,5823,7042,6416,6416,7250,87543082,45480,5241,7250,4979,5823,5618,Boisseaux,2022-11-18T15:48:22.919+01:00
frequentation-gares,36a95984f59a63047553128a24652af958da5908,2216,2577,3077,c,1999,5014,2216,2661,2661,3479,87142224,52310,1999,3479,2577,5014,3077,Bologne,2022-11-18T15:48:22.919+01:00
frequentation-gares,a985f80bf8a9ded085bf2b848d6ee4c127b83af1,116255,168406,127442,b,90360,132355,93004,120032,150040,131097,87745596,74890,112950,104878,134724,105884,101953,Bons-en-Chablais,2022-11-18T15:48:22.919+01:00
frequentation-gares,ed76c57aa87583d9fd2c84ea0cf8e50479ad227c,183549,151469,206851,b,91214,200565,183549,193710,193710,174695,87681478,91820,91214,174695,151469,200565,206851,Boutigny-sur-Essonne,2022-11-18T15:48:22.919+01:00
frequentation-gares,85adca03be24dd90e2402f22c6b4a081436efe33,889,0,908,c,38,964,889,1262,1262,778,87174433,51400,38,778,0,964,908,Bouy,2022-11-18T15:48:22.919+01:00
frequentation-gares,8bb15cc7a13e7ddc7db1b556ddda35e21564fdac,55774,85448,60963,c,57267,62165,55774,67119,67119,77466,87615054,11150,57267,77466,85448,62165,60963,Bram,2022-11-18T15:48:22.919+01:00
